編碼,正體,簡體,部首,部首筆畫,偏旁筆畫,正體筆畫,簡體筆畫,注音1,漢語拼音1,注音2,漢語拼音2,注音3,漢語拼音3,英文1,英文2,中研院字頻,國推會87字頻,簡體對應正體字
183020111,飢,饥,食,9,2,10,5,ㄐㄧ,jī,,,,,,"hunger, starving; hungry; a famine",44,14,"飢,饑"
183120212,饑,饥,食,9,12,20,5,ㄐㄧ,jī,,,,,,"starve, be hungry; famine",30,5,"飢,饑"
